mm,yy,Longitude,Latitude,Rain
01,2010,67.25,23.75,0.0
01,2010,67.25,24.00,0.0
01,2010,67.25,24.25,3.0
01,2010,67.25,24.50,0.0
01,2010,67.25,24.75,0.0
01,2010,67.25,25.00,0.0
01,2010,67.25,25.25,1.3
01,2010,67.25,25.50,0.0
01,2010,67.25,25.75,0.0
01,2010,67.25,26.00,0.0
01,2010,67.25,26.25,0.0
01,2010,67.25,26.50,0.2
01,2010,67.25,26.75,0.0
01,2010,67.25,27.00,0.0
01,2010,67.25,27.25,0.0
01,2010,67.25,27.50,0.0
01,2010,67.25,27.75,0.0
01,2010,67.25,28.00,0.0
01,2010,67.25,28.25,0.0
01,2010,67.25,28.50,0.0
01,2010,67.25,28.75,0.0
01,2010,67.25,29.00,0.0
01,2010,67.25,29.25,0.0
01,2010,67.25,29.50,0.0
01,2010,67.25,29.75,0.0
01,2010,67.50,18.25,0.0
01,2010,67.50,18.50,0.0
01,2010,67.50,18.75,0.0
01,2010,67.50,19.00,0.0
01,2010,67.50,19.25,0.0
01,2010,67.50,19.50,0.0
01,2010,67.50,19.75,0.0
01,2010,67.50,20.00,0.0
01,2010,67.50,20.25,0.0
01,2010,67.50,20.50,0.0
01,2010,67.50,20.75,0.0
01,2010,67.50,21.00,0.0
01,2010,67.50,21.25,0.0
01,2010,67.50,21.50,0.0
01,2010,67.50,21.75,0.0
01,2010,67.50,22.00,0.0
01,2010,67.50,22.25,0.0
01,2010,67.50,22.50,0.0
01,2010,67.50,22.75,0.0
01,2010,67.50,23.00,0.0
01,2010,67.50,23.25,0.0
01,2010,67.50,23.50,0.0
01,2010,67.50,23.75,0.0
01,2010,67.50,24.00,0.0
01,2010,67.50,24.25,0.0
01,2010,67.50,24.50,0.0
01,2010,67.50,24.75,0.0
01,2010,67.50,25.00,0.0
01,2010,67.50,25.25,0.0
01,2010,67.50,25.50,0.0
01,2010,67.50,25.75,0.0
01,2010,67.50,26.00,0.0
01,2010,67.50,26.25,0.0
01,2010,67.50,26.50,0.0
01,2010,67.50,26.75,0.0
01,2010,67.50,27.00,0.0
01,2010,67.50,27.25,0.0
01,2010,67.50,27.50,0.0
01,2010,67.50,27.75,0.0
01,2010,67.50,28.00,0.0
01,2010,67.50,28.25,0.0
01,2010,67.50,28.50,0.0
01,2010,67.50,28.75,0.0
01,2010,67.50,29.00,0.0
01,2010,67.50,29.25,0.0
01,2010,67.50,29.50,0.0
01,2010,67.50,29.75,0.0
01,2010,67.75,18.25,0.0
01,2010,67.75,18.50,0.0
01,2010,67.75,18.75,0.0
01,2010,67.75,19.00,0.0
01,2010,67.75,19.25,0.0
01,2010,67.75,19.50,0.0
01,2010,67.75,19.75,0.0
01,2010,67.75,20.00,0.0
01,2010,67.75,20.25,0.0
01,2010,67.75,20.50,0.0
01,2010,67.75,20.75,0.0
01,2010,67.75,21.00,0.0
01,2010,67.75,21.25,0.0
01,2010,67.75,21.50,0.0
01,2010,67.75,21.75,0.0
01,2010,67.75,22.00,0.0
01,2010,67.75,22.25,0.0
01,2010,67.75,22.50,0.0
01,2010,67.75,22.75,0.0
01,2010,67.75,23.00,0.0
01,2010,67.75,23.25,0.0
01,2010,67.75,23.50,0.0
01,2010,67.75,23.75,0.0
01,2010,67.75,24.00,0.0
01,2010,67.75,24.25,0.0
01,2010,67.75,24.50,0.0
01,2010,67.75,24.75,0.0
01,2010,67.75,25.00,0.0
01,2010,67.75,25.25,0.0
01,2010,67.75,25.50,0.0
01,2010,67.75,25.75,0.0
01,2010,67.75,26.00,0.0
01,2010,67.75,26.25,0.0
01,2010,67.75,26.50,0.0
01,2010,67.75,26.75,0.0
01,2010,67.75,27.00,0.0
01,2010,67.75,27.25,0.0
01,2010,67.75,27.50,0.0
01,2010,67.75,27.75,0.0
01,2010,67.75,28.00,0.0
01,2010,67.75,28.25,0.0
01,2010,67.75,28.50,0.0
01,2010,67.75,28.75,0.0
