Year,Month,Max,Average,Min,Total
2017,november,0.0mm ,0.0mm ,0.0mm ,0.0mm
2017,december,0.8mm ,0.03mm ,0.0mm ,0.9mm
2018,january,0.0mm ,0.0mm ,0.0mm ,0.0mm
2018,february,0.0mm ,0.0mm ,0.0mm ,0.0mm
2018,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2018,may,0.0mm ,0.0mm ,0.0mm ,0.0mm
2018,june,2.5mm ,0.13mm ,0.0mm ,4.0mm
2018,july,34.2mm ,4.28mm ,0.0mm ,132.7mm
2018,august,13.0mm ,1.17mm ,0.1mm ,36.2mm
2018,september,0.7mm ,0.14mm ,0.0mm ,4.1mm
2018,october,0.1mm ,0.0mm ,0.0mm ,0.1mm
2018,november,0.0mm ,0.0mm ,0.0mm ,0.0mm
2018,december,0.0mm ,0.0mm ,0.0mm ,0.0mm
2019,january,0.1mm ,0.01mm ,0.0mm ,0.2mm
2019,february,0.0mm ,0.0mm ,0.0mm ,0.0mm
2019,march,0.0mm ,0.0mm ,0.0mm ,0.0mm
2019,may,0.0mm ,0.0mm ,0.0mm ,0.0mm
2019,june,21.1mm ,3.28mm ,0.0mm ,98.5mm
2019,july,24.7mm ,5.87mm ,0.0mm ,182.0mm
2019,august,931.6mm ,42.06mm ,0.0mm ,303.9mm
2019,september,97.8mm ,19.55mm ,0.0mm ,586.4mm
2019,october,10.3mm ,1.06mm ,0.0mm ,33.0mm
2019,november,8.3mm ,0.77mm ,0.0mm ,23.2mm
2019,december,0.1mm ,0.0mm ,0.0mm ,0.1mm
