04,03,2011	  73.50,   20.50,   19.5
05,03,2011	  72.50,   20.50,   20.0
05,03,2011	  73.50,   20.50,   19.4
06,03,2011	  72.50,   20.50,   19.9
06,03,2011	  73.50,   20.50,   19.6
07,03,2011	  72.50,   20.50,   20.1
07,03,2011	  73.50,   20.50,   20.4
08,03,2011	  72.50,   20.50,   21.7
08,03,2011	  73.50,   20.50,   21.9
09,03,2011	  72.50,   20.50,   20.9
09,03,2011	  73.50,   20.50,   21.0
10,03,2011	  72.50,   20.50,   21.4
10,03,2011	  73.50,   20.50,   21.7
11,03,2011	  72.50,   20.50,   22.5
11,03,2011	  73.50,   20.50,   22.5
12,03,2011	  72.50,   20.50,   22.4
12,03,2011	  73.50,   20.50,   22.2
13,03,2011	  72.50,   20.50,   23.3
13,03,2011	  73.50,   20.50,   23.2
14,03,2011	  72.50,   20.50,   22.8
14,03,2011	  73.50,   20.50,   22.7
15,03,2011	  72.50,   20.50,   22.6
15,03,2011	  73.50,   20.50,   22.4
16,03,2011	  72.50,   20.50,   22.2
16,03,2011	  73.50,   20.50,   22.1
17,03,2011	  72.50,   20.50,   21.4
17,03,2011	  73.50,   20.50,   21.4
18,03,2011	  72.50,   20.50,   20.7
18,03,2011	  73.50,   20.50,   20.6
19,03,2011	  72.50,   20.50,   21.8
19,03,2011	  73.50,   20.50,   21.6
20,03,2011	  72.50,   20.50,   23.4
20,03,2011	  73.50,   20.50,   23.1
21,03,2011	  72.50,   20.50,   24.2
21,03,2011	  73.50,   20.50,   24.1
22,03,2011	  72.50,   20.50,   23.8
22,03,2011	  73.50,   20.50,   23.7
23,03,2011	  72.50,   20.50,   22.8
23,03,2011	  73.50,   20.50,   22.6
24,03,2011	  72.50,   20.50,   24.9
24,03,2011	  73.50,   20.50,   24.4
25,03,2011	  72.50,   20.50,   24.3
25,03,2011	  73.50,   20.50,   24.1
26,03,2011	  72.50,   20.50,   24.4
26,03,2011	  73.50,   20.50,   24.2
27,03,2011	  72.50,   20.50,   24.2
27,03,2011	  73.50,   20.50,   24.0
28,03,2011	  72.50,   20.50,   24.0
28,03,2011	  73.50,   20.50,   23.8
29,03,2011	  72.50,   20.50,   24.0
29,03,2011	  73.50,   20.50,   24.0
30,03,2011	  72.50,   20.50,   24.0
30,03,2011	  73.50,   20.50,   24.1
31,03,2011	  72.50,   20.50,   24.4
31,03,2011	  73.50,   20.50,   24.4
01,04,2011	  72.50,   20.50,   25.4
01,04,2011	  73.50,   20.50,   25.5
02,04,2011	  72.50,   20.50,   25.4
