mm,yy,Longitude,Latitude,Temperature
01,2011,  68.50,   19.50,   12.9
01,2011,  68.50,   20.50,   12.0
01,2011,  68.50,   21.50,   10.6
01,2011,  68.50,   22.50,    8.9
01,2011,  68.50,   23.50,    8.1
01,2011,  68.50,   24.50,    7.9
01,2011,  68.50,   25.50,    8.2
01,2011,  69.50,   19.50,   13.4
01,2011,  69.50,   20.50,   11.9
01,2011,  69.50,   21.50,    9.9
01,2011,  69.50,   22.50,    7.9
01,2011,  69.50,   23.50,    6.8
01,2011,  69.50,   24.50,    6.4
01,2011,  69.50,   25.50,    6.2
01,2011,  70.50,   19.50,   13.1
01,2011,  70.50,   20.50,   12.0
01,2011,  70.50,   21.50,   10.2
01,2011,  70.50,   22.50,    8.2
01,2011,  70.50,   23.50,    6.9
01,2011,  70.50,   24.50,    6.1
01,2011,  70.50,   25.50,    5.7
01,2011,  71.50,   19.50,   11.9
01,2011,  71.50,   20.50,   10.7
01,2011,  71.50,   21.50,    9.0
01,2011,  71.50,   22.50,    7.4
01,2011,  71.50,   23.50,    6.5
01,2011,  71.50,   24.50,    6.2
01,2011,  71.50,   25.50,    5.9
01,2011,  72.50,   19.50,    9.6
01,2011,  72.50,   20.50,    9.1
01,2011,  72.50,   21.50,    8.1
01,2011,  72.50,   22.50,    6.9
01,2011,  72.50,   23.50,    6.4
01,2011,  72.50,   24.50,    6.1
01,2011,  72.50,   25.50,    5.9
01,2011,  73.50,   19.50,    8.5
01,2011,  73.50,   20.50,    8.1
01,2011,  73.50,   21.50,    7.5
01,2011,  73.50,   22.50,    6.5
01,2011,  73.50,   23.50,    6.2
01,2011,  73.50,   24.50,    6.0
01,2011,  73.50,   25.50,    5.9
01,2011,  74.50,   19.50,    8.9
01,2011,  74.50,   20.50,    8.3
01,2011,  74.50,   21.50,    7.7
01,2011,  74.50,   22.50,    6.8
01,2011,  74.50,   23.50,    6.4
01,2011,  74.50,   24.50,    6.4
01,2011,  74.50,   25.50,    6.1
02,2011,  68.50,   19.50,   17.0
02,2011,  68.50,   20.50,   16.7
02,2011,  68.50,   21.50,   16.0
02,2011,  68.50,   22.50,   15.3
02,2011,  68.50,   23.50,   15.3
02,2011,  68.50,   24.50,   15.1
02,2011,  68.50,   25.50,   14.4
02,2011,  69.50,   19.50,   16.8
02,2011,  69.50,   20.50,   16.3
02,2011,  69.50,   21.50,   16.5
02,2011,  69.50,   22.50,   16.7
02,2011,  69.50,   23.50,   16.1
02,2011,  69.50,   24.50,   16.8
02,2011,  69.50,   25.50,   15.9
02,2011,  70.50,   19.50,   21.9
02,2011,  70.50,   20.50,   19.9
02,2011,  70.50,   21.50,   18.4
02,2011,  70.50,   22.50,   17.1
02,2011,  70.50,   23.50,   14.6
02,2011,  70.50,   24.50,   18.2
02,2011,  70.50,   25.50,   16.6
02,2011,  71.50,   19.50,    nan
02,2011,  71.50,   20.50,    nan
02,2011,  71.50,   21.50,   21.3
02,2011,  71.50,   22.50,   19.8
02,2011,  71.50,   23.50,   16.9
02,2011,  71.50,   24.50,   19.4
02,2011,  71.50,   25.50,   17.0
02,2011,  72.50,   19.50,    2.9
02,2011,  72.50,   20.50,    2.2
02,2011,  72.50,   21.50,    2.5
02,2011,  72.50,   22.50,    nan
02,2011,  72.50,   23.50,    nan
02,2011,  72.50,   24.50,   21.9
02,2011,  72.50,   25.50,   21.2
02,2011,  73.50,   19.50,   10.2
02,2011,  73.50,   20.50,    7.8
02,2011,  73.50,   21.50,    5.9
02,2011,  73.50,   22.50,    4.3
02,2011,  73.50,   23.50,    4.0
02,2011,  73.50,   24.50,    2.9
02,2011,  73.50,   25.50,    3.2
02,2011,  74.50,   19.50,   13.8
02,2011,  74.50,   20.50,   13.2
02,2011,  74.50,   21.50,   12.7
02,2011,  74.50,   22.50,   11.2
02,2011,  74.50,   23.50,    8.6
02,2011,  74.50,   24.50,    7.5
02,2011,  74.50,   25.50,    5.6
03,2011,  68.50,   19.50,   18.2
03,2011,  68.50,   20.50,   18.0
03,2011,  68.50,   21.50,   17.0
03,2011,  68.50,   22.50,   15.8
03,2011,  68.50,   23.50,   14.6
03,2011,  68.50,   24.50,   14.1
03,2011,  68.50,   25.50,   13.5
03,2011,  69.50,   19.50,   18.8
03,2011,  69.50,   20.50,   18.4
03,2011,  69.50,   21.50,   17.7
03,2011,  69.50,   22.50,   16.8
03,2011,  69.50,   23.50,   15.9
03,2011,  69.50,   24.50,   15.6
03,2011,  69.50,   25.50,   15.1
03,2011,  70.50,   19.50,   19.5
03,2011,  70.50,   20.50,   19.4
03,2011,  70.50,   21.50,   18.8
03,2011,  70.50,   22.50,   17.9
03,2011,  70.50,   23.50,   16.9
03,2011,  70.50,   24.50,   16.3
03,2011,  70.50,   25.50,   15.8
03,2011,  71.50,   19.50,   19.6
03,2011,  71.50,   20.50,   19.4
03,2011,  71.50,   21.50,   18.8
03,2011,  71.50,   22.50,   17.7
03,2011,  71.50,   23.50,   16.5
03,2011,  71.50,   24.50,   15.9
03,2011,  71.50,   25.50,   15.4
03,2011,  72.50,   19.50,   19.7
03,2011,  72.50,   20.50,   19.5
03,2011,  72.50,   21.50,   18.9
03,2011,  72.50,   22.50,   17.9
03,2011,  72.50,   23.50,   17.0
03,2011,  72.50,   24.50,   16.5
03,2011,  72.50,   25.50,   15.9
03,2011,  73.50,   19.50,   20.1
03,2011,  73.50,   20.50,   19.8
03,2011,  73.50,   21.50,   19.1
03,2011,  73.50,   22.50,   17.8
03,2011,  73.50,   23.50,   16.6
03,2011,  73.50,   24.50,   16.0
03,2011,  73.50,   25.50,   15.4
03,2011,  74.50,   19.50,   20.1
03,2011,  74.50,   20.50,   19.7
03,2011,  74.50,   21.50,   18.9
03,2011,  74.50,   22.50,   17.6
03,2011,  74.50,   23.50,   16.5
03,2011,  74.50,   24.50,   16.2
03,2011,  74.50,   25.50,   15.9
04,2011,  68.50,   19.50,   20.6
04,2011,  68.50,   20.50,   20.2
04,2011,  68.50,   21.50,   21.0
04,2011,  68.50,   22.50,   21.3
04,2011,  68.50,   23.50,   21.3
04,2011,  68.50,   24.50,   20.8
04,2011,  68.50,   25.50,   20.2
04,2011,  69.50,   19.50,   21.8
04,2011,  69.50,   20.50,   21.5
04,2011,  69.50,   21.50,   21.5
04,2011,  69.50,   22.50,   22.0
04,2011,  69.50,   23.50,   21.8
04,2011,  69.50,   24.50,   22.0
04,2011,  69.50,   25.50,   21.2
04,2011,  70.50,   19.50,   22.0
04,2011,  70.50,   20.50,   21.9
04,2011,  70.50,   21.50,   21.4
04,2011,  70.50,   22.50,   21.9
04,2011,  70.50,   23.50,   22.0
04,2011,  70.50,   24.50,   21.7
04,2011,  70.50,   25.50,   21.6
04,2011,  71.50,   19.50,   21.4
04,2011,  71.50,   20.50,   21.8
04,2011,  71.50,   21.50,   21.2
04,2011,  71.50,   22.50,   21.0
04,2011,  71.50,   23.50,   21.1
04,2011,  71.50,   24.50,   21.3
04,2011,  71.50,   25.50,   20.9
04,2011,  72.50,   19.50,   21.9
04,2011,  72.50,   20.50,   22.1
04,2011,  72.50,   21.50,   22.3
04,2011,  72.50,   22.50,   21.7
04,2011,  72.50,   23.50,   21.5
04,2011,  72.50,   24.50,   21.4
04,2011,  72.50,   25.50,   21.2
04,2011,  73.50,   19.50,   21.4
04,2011,  73.50,   20.50,   22.4
04,2011,  73.50,   21.50,   23.1
04,2011,  73.50,   22.50,   23.1
04,2011,  73.50,   23.50,   22.6
04,2011,  73.50,   24.50,   22.5
04,2011,  73.50,   25.50,   22.2
04,2011,  74.50,   19.50,   21.3
04,2011,  74.50,   20.50,   21.4
04,2011,  74.50,   21.50,   22.5
04,2011,  74.50,   22.50,   23.6
04,2011,  74.50,   23.50,   23.4
04,2011,  74.50,   24.50,   22.8
04,2011,  74.50,   25.50,   22.2
05,2011,  68.50,   19.50,   24.3
05,2011,  68.50,   20.50,   24.8
05,2011,  68.50,   21.50,   24.8
05,2011,  68.50,   22.50,   24.5
05,2011,  68.50,   23.50,   24.1
05,2011,  68.50,   24.50,   24.2
05,2011,  68.50,   25.50,   24.1
05,2011,  69.50,   19.50,   24.8
05,2011,  69.50,   20.50,   25.2
05,2011,  69.50,   21.50,   25.2
05,2011,  69.50,   22.50,   24.8
05,2011,  69.50,   23.50,   24.3
05,2011,  69.50,   24.50,   24.3
05,2011,  69.50,   25.50,   24.2
05,2011,  70.50,   19.50,   24.4
05,2011,  70.50,   20.50,   25.1
05,2011,  70.50,   21.50,   25.2
05,2011,  70.50,   22.50,   24.7
05,2011,  70.50,   23.50,   24.4
05,2011,  70.50,   24.50,   24.3
05,2011,  70.50,   25.50,   24.0
05,2011,  71.50,   19.50,   24.2
05,2011,  71.50,   20.50,   24.7
05,2011,  71.50,   21.50,   24.8
05,2011,  71.50,   22.50,   24.6
05,2011,  71.50,   23.50,   24.2
05,2011,  71.50,   24.50,   24.1
05,2011,  71.50,   25.50,   23.9
