mm,yy,Longitude,Latitude,Rain
01,2011,68.75,20.25,0.0
01,2011,68.75,20.50,0.0
01,2011,68.75,20.75,0.0
01,2011,68.75,21.00,0.0
01,2011,68.75,21.25,0.0
01,2011,68.75,21.50,0.0
01,2011,68.75,21.75,0.0
01,2011,68.75,22.00,0.0
01,2011,68.75,22.25,0.0
01,2011,68.75,22.50,0.0
01,2011,68.75,22.75,0.0
01,2011,68.75,23.00,0.0
01,2011,68.75,23.25,0.0
01,2011,68.75,23.50,0.0
01,2011,68.75,23.75,0.0
01,2011,68.75,24.00,0.0
01,2011,68.75,24.25,0.0
01,2011,68.75,24.50,0.0
01,2011,69.00,20.25,0.0
01,2011,69.00,20.50,0.0
01,2011,69.00,20.75,0.0
01,2011,69.00,21.00,0.0
01,2011,69.00,21.25,0.0
01,2011,69.00,21.50,0.0
01,2011,69.00,21.75,0.0
01,2011,69.00,22.00,0.0
01,2011,69.00,22.25,0.0
01,2011,69.00,22.50,0.0
01,2011,69.00,22.75,0.0
01,2011,69.00,23.00,0.0
01,2011,69.00,23.25,0.0
01,2011,69.00,23.50,0.0
01,2011,69.00,23.75,0.0
01,2011,69.00,24.00,0.0
01,2011,69.00,24.25,0.0
01,2011,69.00,24.50,0.0
01,2011,69.25,20.25,0.0
01,2011,69.25,20.50,0.0
01,2011,69.25,20.75,0.0
01,2011,69.25,21.00,0.0
01,2011,69.25,21.25,0.0
01,2011,69.25,21.50,0.0
01,2011,69.25,21.75,0.0
01,2011,69.25,22.00,0.0
01,2011,69.25,22.25,0.0
01,2011,69.25,22.50,0.0
01,2011,69.25,22.75,0.0
01,2011,69.25,23.00,0.0
01,2011,69.25,23.25,0.0
01,2011,69.25,23.50,0.0
01,2011,69.25,23.75,0.0
01,2011,69.25,24.00,0.0
01,2011,69.25,24.25,0.0
01,2011,69.25,24.50,0.0
01,2011,69.50,20.25,0.0
01,2011,69.50,20.50,0.0
01,2011,69.50,20.75,0.0
01,2011,69.50,21.00,0.0
01,2011,69.50,21.25,0.0
01,2011,69.50,21.50,0.0
01,2011,69.50,21.75,0.0
01,2011,69.50,22.00,0.0
01,2011,69.50,22.25,0.0
01,2011,69.50,22.50,0.0
01,2011,69.50,22.75,0.0
01,2011,69.50,23.00,0.0
01,2011,69.50,23.25,0.0
01,2011,69.50,23.50,0.0
01,2011,69.50,23.75,0.0
01,2011,69.50,24.00,0.0
01,2011,69.50,24.25,0.0
01,2011,69.50,24.50,0.0
01,2011,69.75,20.25,0.0
01,2011,69.75,20.50,0.0
01,2011,69.75,20.75,147.4
01,2011,69.75,21.00,0.0
01,2011,69.75,21.25,0.0
01,2011,69.75,21.50,0.0
01,2011,69.75,21.75,69.9
01,2011,69.75,22.00,107.5
01,2011,69.75,22.25,0.0
01,2011,69.75,22.50,0.0
01,2011,69.75,22.75,0.0
01,2011,69.75,23.00,178.5
01,2011,69.75,23.25,0.0
01,2011,69.75,23.50,0.0
01,2011,69.75,23.75,0.0
01,2011,69.75,24.00,178.1
01,2011,69.75,24.25,0.0
01,2011,69.75,24.50,0.0
01,2011,70.00,20.25,2.7
01,2011,70.00,20.50,0.0
01,2011,70.00,20.75,0.0
01,2011,70.00,21.00,0.0
01,2011,70.00,21.25,0.0
01,2011,70.00,21.50,0.0
01,2011,70.00,21.75,0.0
01,2011,70.00,22.00,0.0
01,2011,70.00,22.25,0.0
01,2011,70.00,22.50,0.0
01,2011,70.00,22.75,0.0
01,2011,70.00,23.00,0.0
01,2011,70.00,23.25,0.0
01,2011,70.00,23.50,0.0
01,2011,70.00,23.75,0.0
01,2011,70.00,24.00,0.0
01,2011,70.00,24.25,0.0
01,2011,70.00,24.50,0.0
01,2011,70.25,20.25,0.0
01,2011,70.25,20.50,0.0
01,2011,70.25,20.75,0.0
01,2011,70.25,21.00,0.0
01,2011,70.25,21.25,0.0
01,2011,70.25,21.50,0.0
01,2011,70.25,21.75,0.0
01,2011,70.25,22.00,0.0
01,2011,70.25,22.25,0.0
01,2011,70.25,22.50,0.0
01,2011,70.25,22.75,0.0
01,2011,70.25,23.00,0.0
01,2011,70.25,23.25,0.0
01,2011,70.25,23.50,0.0
01,2011,70.25,23.75,0.0
01,2011,70.25,24.00,0.0
01,2011,70.25,24.25,0.0
01,2011,70.25,24.50,0.0
01,2011,70.50,20.25,0.0
01,2011,70.50,20.50,0.0
01,2011,70.50,20.75,0.0
01,2011,70.50,21.00,0.3
01,2011,70.50,21.25,0.0
01,2011,70.50,21.50,0.0
01,2011,70.50,21.75,0.0
01,2011,70.50,22.00,0.1
01,2011,70.50,22.25,0.0
01,2011,70.50,22.50,0.0
01,2011,70.50,22.75,0.0
01,2011,70.50,23.00,0.0
01,2011,70.50,23.25,0.0
01,2011,70.50,23.50,0.0
01,2011,70.50,23.75,0.0
01,2011,70.50,24.00,0.0
01,2011,70.50,24.25,0.0
01,2011,70.50,24.50,0.0
01,2011,70.75,20.25,0.0
01,2011,70.75,20.50,0.0
01,2011,70.75,20.75,0.0
01,2011,70.75,21.00,0.0
01,2011,70.75,21.25,0.0
01,2011,70.75,21.50,0.0
01,2011,70.75,21.75,0.0
01,2011,70.75,22.00,0.0
01,2011,70.75,22.25,0.0
01,2011,70.75,22.50,0.0
01,2011,70.75,22.75,0.0
01,2011,70.75,23.00,0.0
01,2011,70.75,23.25,0.0
01,2011,70.75,23.50,0.0
01,2011,70.75,23.75,0.0
01,2011,70.75,24.00,0.0
01,2011,70.75,24.25,0.0
01,2011,70.75,24.50,0.0
01,2011,71.00,20.25,0.0
01,2011,71.00,20.50,0.0
01,2011,71.00,20.75,5.0
01,2011,71.00,21.00,0.0
01,2011,71.00,21.25,0.0
01,2011,71.00,21.50,0.0
01,2011,71.00,21.75,5.6
01,2011,71.00,22.00,0.0
01,2011,71.00,22.25,0.0
01,2011,71.00,22.50,0.0
01,2011,71.00,22.75,0.0
