mm,yy,Longitude,Latitude,Rain
01,2012,68.75,20.25,0.0
01,2012,68.75,20.50,0.0
01,2012,68.75,20.75,0.0
01,2012,68.75,21.00,0.0
01,2012,68.75,21.25,0.0
01,2012,68.75,21.50,0.0
01,2012,68.75,21.75,0.0
01,2012,68.75,22.00,0.0
01,2012,68.75,22.25,0.0
01,2012,68.75,22.50,0.0
01,2012,68.75,22.75,0.0
01,2012,68.75,23.00,0.0
01,2012,68.75,23.25,0.0
01,2012,68.75,23.50,0.0
01,2012,68.75,23.75,0.0
01,2012,68.75,24.00,0.0
01,2012,68.75,24.25,0.0
01,2012,68.75,24.50,0.0
01,2012,69.00,20.25,0.0
01,2012,69.00,20.50,0.0
01,2012,69.00,20.75,49.0
01,2012,69.00,21.00,13.5
01,2012,69.00,21.25,0.0
01,2012,69.00,21.50,0.0
01,2012,69.00,21.75,0.9
01,2012,69.00,22.00,37.7
01,2012,69.00,22.25,0.0
01,2012,69.00,22.50,0.0
01,2012,69.00,22.75,0.0
01,2012,69.00,23.00,16.5
01,2012,69.00,23.25,0.0
01,2012,69.00,23.50,0.0
01,2012,69.00,23.75,0.0
01,2012,69.00,24.00,6.4
01,2012,69.00,24.25,0.5
01,2012,69.00,24.50,0.0
01,2012,69.25,20.25,28.1
01,2012,69.25,20.50,32.0
01,2012,69.25,20.75,0.0
01,2012,69.25,21.00,8.3
01,2012,69.25,21.25,38.9
01,2012,69.25,21.50,36.5
01,2012,69.25,21.75,0.8
01,2012,69.25,22.00,0.0
01,2012,69.25,22.25,61.5
01,2012,69.25,22.50,23.9
01,2012,69.25,22.75,17.2
01,2012,69.25,23.00,0.0
01,2012,69.25,23.25,80.8
01,2012,69.25,23.50,7.5
01,2012,69.25,23.75,17.3
01,2012,69.25,24.00,0.0
01,2012,69.25,24.25,0.7
01,2012,69.25,24.50,73.4
01,2012,69.50,20.25,0.0
01,2012,69.50,20.50,0.0
01,2012,69.50,20.75,0.0
01,2012,69.50,21.00,0.0
01,2012,69.50,21.25,0.0
01,2012,69.50,21.50,0.0
01,2012,69.50,21.75,0.0
01,2012,69.50,22.00,0.0
01,2012,69.50,22.25,0.0
01,2012,69.50,22.50,0.0
01,2012,69.50,22.75,0.0
01,2012,69.50,23.00,0.0
01,2012,69.50,23.25,0.0
01,2012,69.50,23.50,0.0
01,2012,69.50,23.75,0.0
01,2012,69.50,24.00,0.0
01,2012,69.50,24.25,0.0
01,2012,69.50,24.50,0.0
01,2012,69.75,20.25,0.0
01,2012,69.75,20.50,0.0
01,2012,69.75,20.75,0.0
01,2012,69.75,21.00,0.0
01,2012,69.75,21.25,0.0
01,2012,69.75,21.50,0.0
01,2012,69.75,21.75,0.0
01,2012,69.75,22.00,0.0
01,2012,69.75,22.25,0.0
01,2012,69.75,22.50,0.0
01,2012,69.75,22.75,0.0
01,2012,69.75,23.00,0.0
01,2012,69.75,23.25,0.0
01,2012,69.75,23.50,0.0
01,2012,69.75,23.75,0.0
01,2012,69.75,24.00,0.0
01,2012,69.75,24.25,0.0
01,2012,69.75,24.50,0.0
01,2012,70.00,20.25,0.0
01,2012,70.00,20.50,0.0
01,2012,70.00,20.75,0.0
01,2012,70.00,21.00,0.0
01,2012,70.00,21.25,0.0
01,2012,70.00,21.50,0.0
01,2012,70.00,21.75,0.0
01,2012,70.00,22.00,0.0
01,2012,70.00,22.25,0.0
01,2012,70.00,22.50,0.0
01,2012,70.00,22.75,0.0
01,2012,70.00,23.00,0.0
01,2012,70.00,23.25,0.0
01,2012,70.00,23.50,0.0
01,2012,70.00,23.75,0.0
01,2012,70.00,24.00,0.0
01,2012,70.00,24.25,0.0
01,2012,70.00,24.50,0.0
01,2012,70.25,20.25,0.0
01,2012,70.25,20.50,0.0
01,2012,70.25,20.75,3.1
01,2012,70.25,21.00,4.9
01,2012,70.25,21.25,0.0
01,2012,70.25,21.50,0.0
01,2012,70.25,21.75,0.0
01,2012,70.25,22.00,2.9
01,2012,70.25,22.25,0.0
01,2012,70.25,22.50,0.0
01,2012,70.25,22.75,0.0
01,2012,70.25,23.00,0.4
01,2012,70.25,23.25,0.0
01,2012,70.25,23.50,0.0
01,2012,70.25,23.75,0.0
01,2012,70.25,24.00,0.0
01,2012,70.25,24.25,0.0
01,2012,70.25,24.50,0.0
01,2012,70.50,20.25,0.0
01,2012,70.50,20.50,0.0
01,2012,70.50,20.75,0.0
01,2012,70.50,21.00,0.0
01,2012,70.50,21.25,0.0
01,2012,70.50,21.50,0.0
01,2012,70.50,21.75,0.0
01,2012,70.50,22.00,0.0
01,2012,70.50,22.25,0.0
01,2012,70.50,22.50,0.0
01,2012,70.50,22.75,0.0
01,2012,70.50,23.00,0.0
01,2012,70.50,23.25,0.0
01,2012,70.50,23.50,0.0
01,2012,70.50,23.75,0.0
01,2012,70.50,24.00,0.0
01,2012,70.50,24.25,0.0
01,2012,70.50,24.50,0.0
01,2012,70.75,20.25,0.0
01,2012,70.75,20.50,0.0
01,2012,70.75,20.75,0.0
01,2012,70.75,21.00,0.0
01,2012,70.75,21.25,0.0
01,2012,70.75,21.50,0.0
01,2012,70.75,21.75,0.0
01,2012,70.75,22.00,0.0
01,2012,70.75,22.25,0.0
01,2012,70.75,22.50,0.0
01,2012,70.75,22.75,0.0
01,2012,70.75,23.00,0.0
01,2012,70.75,23.25,0.0
01,2012,70.75,23.50,0.0
01,2012,70.75,23.75,0.0
01,2012,70.75,24.00,0.0
01,2012,70.75,24.25,0.0
