mm,yy,Longitude,Latitude,Rain
01,2013,71.00,20.50,0.0
01,2013,71.00,20.75,0.0
01,2013,71.00,21.00,0.0
01,2013,71.00,21.25,0.0
01,2013,71.00,21.50,0.0
01,2013,71.00,21.75,0.0
01,2013,71.00,22.00,0.0
01,2013,71.00,22.25,0.0
01,2013,71.00,22.50,0.0
01,2013,71.00,22.75,0.0
01,2013,71.00,23.00,0.0
01,2013,71.00,23.25,0.0
01,2013,71.00,23.50,0.0
01,2013,71.00,23.75,0.0
01,2013,71.00,24.00,0.0
01,2013,71.00,24.25,0.0
01,2013,71.00,24.50,0.0
01,2013,71.25,20.25,0.0
01,2013,71.25,20.50,0.0
01,2013,71.25,20.75,0.0
01,2013,71.25,21.00,0.0
01,2013,71.25,21.25,0.0
01,2013,71.25,21.50,0.0
01,2013,71.25,21.75,0.0
01,2013,71.25,22.00,0.0
01,2013,71.25,22.25,0.0
01,2013,71.25,22.50,0.0
01,2013,71.25,22.75,0.0
01,2013,71.25,23.00,0.0
01,2013,71.25,23.25,0.0
01,2013,71.25,23.50,0.0
01,2013,71.25,23.75,0.0
01,2013,71.25,24.00,0.0
01,2013,71.25,24.25,0.0
01,2013,71.25,24.50,0.0
01,2013,71.50,20.25,0.0
01,2013,71.50,20.50,0.0
01,2013,71.50,20.75,0.0
01,2013,71.50,21.00,45.7
01,2013,71.50,21.25,0.0
01,2013,71.50,21.50,0.0
01,2013,71.50,21.75,0.0
01,2013,71.50,22.00,46.1
01,2013,71.50,22.25,0.0
01,2013,71.50,22.50,0.0
01,2013,71.50,22.75,0.0
01,2013,71.50,23.00,0.0
01,2013,71.50,23.25,38.3
01,2013,71.50,23.50,0.0
01,2013,71.50,23.75,0.0
01,2013,71.50,24.00,0.0
01,2013,71.50,24.25,24.1
01,2013,71.50,24.50,0.0
01,2013,71.75,20.25,0.0
01,2013,71.75,20.50,0.0
01,2013,71.75,20.75,0.0
01,2013,71.75,21.00,0.0
01,2013,71.75,21.25,0.0
01,2013,71.75,21.50,0.0
01,2013,71.75,21.75,0.0
01,2013,71.75,22.00,0.0
01,2013,71.75,22.25,0.0
01,2013,71.75,22.50,0.0
01,2013,71.75,22.75,0.0
01,2013,71.75,23.00,0.0
01,2013,71.75,23.25,0.0
01,2013,71.75,23.50,0.0
01,2013,71.75,23.75,0.0
01,2013,71.75,24.00,0.0
01,2013,71.75,24.25,0.0
01,2013,71.75,24.50,0.0
01,2013,72.00,20.25,0.0
01,2013,72.00,20.50,0.0
01,2013,72.00,20.75,0.0
01,2013,72.00,21.00,0.0
01,2013,72.00,21.25,0.0
01,2013,72.00,21.50,0.0
01,2013,72.00,21.75,0.0
01,2013,72.00,22.00,0.0
01,2013,72.00,22.25,0.0
01,2013,72.00,22.50,0.0
01,2013,72.00,22.75,0.0
01,2013,72.00,23.00,0.0
01,2013,72.00,23.25,0.0
01,2013,72.00,23.50,0.0
01,2013,72.00,23.75,0.0
01,2013,72.00,24.00,0.0
01,2013,72.00,24.25,0.0
01,2013,72.00,24.50,0.0
01,2013,72.25,20.25,0.0
01,2013,72.25,20.50,0.0
01,2013,72.25,20.75,0.0
01,2013,72.25,21.00,0.0
01,2013,72.25,21.25,0.0
01,2013,72.25,21.50,0.0
01,2013,72.25,21.75,0.0
01,2013,72.25,22.00,0.0
01,2013,72.25,22.25,0.0
01,2013,72.25,22.50,0.0
01,2013,72.25,22.75,0.0
01,2013,72.25,23.00,0.0
01,2013,72.25,23.25,0.0
01,2013,72.25,23.50,0.0
01,2013,72.25,23.75,0.0
01,2013,72.25,24.00,0.0
01,2013,72.25,24.25,0.0
01,2013,72.25,24.50,0.0
01,2013,72.50,20.25,0.0
01,2013,72.50,20.50,0.0
01,2013,72.50,20.75,0.0
01,2013,72.50,21.00,0.0
01,2013,72.50,21.25,0.0
01,2013,72.50,21.50,0.0
01,2013,72.50,21.75,0.0
01,2013,72.50,22.00,0.0
01,2013,72.50,22.25,0.0
01,2013,72.50,22.50,0.0
01,2013,72.50,22.75,0.0
01,2013,72.50,23.00,0.0
01,2013,72.50,23.25,0.0
01,2013,72.50,23.50,0.0
01,2013,72.50,23.75,0.0
01,2013,72.50,24.00,0.0
01,2013,72.50,24.25,0.0
01,2013,72.50,24.50,0.0
01,2013,72.75,20.25,0.0
01,2013,72.75,20.50,0.0
01,2013,72.75,20.75,0.0
01,2013,72.75,21.00,0.0
01,2013,72.75,21.25,0.0
01,2013,72.75,21.50,0.0
01,2013,72.75,21.75,0.0
01,2013,72.75,22.00,0.0
01,2013,72.75,22.25,0.0
01,2013,72.75,22.50,0.0
01,2013,72.75,22.75,0.0
01,2013,72.75,23.00,0.0
01,2013,72.75,23.25,0.0
01,2013,72.75,23.50,0.0
01,2013,72.75,23.75,0.0
01,2013,72.75,24.00,0.0
01,2013,72.75,24.25,0.0
01,2013,72.75,24.50,0.0
01,2013,73.00,20.25,0.0
01,2013,73.00,20.50,0.0
01,2013,73.00,20.75,0.0
01,2013,73.00,21.00,0.0
01,2013,73.00,21.25,0.0
01,2013,73.00,21.50,0.0
01,2013,73.00,21.75,0.4
01,2013,73.00,22.00,0.0
01,2013,73.00,22.25,0.0
01,2013,73.00,22.50,0.0
01,2013,73.00,22.75,10.2
01,2013,73.00,23.00,0.0
01,2013,73.00,23.25,0.0
01,2013,73.00,23.50,0.0
01,2013,73.00,23.75,0.0
01,2013,73.00,24.00,1.3
01,2013,73.00,24.25,0.0
01,2013,73.00,24.50,0.0
01,2013,73.25,20.25,0.0
01,2013,73.25,20.50,0.0
01,2013,73.25,20.75,0.0
01,2013,73.25,21.00,0.0
01,2013,73.25,21.25,0.0
01,2013,73.25,21.50,0.0
01,2013,73.25,21.75,0.0
01,2013,73.25,22.00,0.0
01,2013,73.25,22.25,0.0
01,2013,73.25,22.50,0.0
01,2013,73.25,22.75,0.0
01,2013,73.25,23.00,0.0
01,2013,73.25,23.25,0.0
01,2013,73.25,23.50,0.0
01,2013,73.25,23.75,0.0
01,2013,73.25,24.00,0.0
01,2013,73.25,24.25,0.0
01,2013,73.25,24.50,0.0
01,2013,73.50,20.25,0.0
01,2013,73.50,20.50,0.0
01,2013,73.50,20.75,0.0
01,2013,73.50,21.00,0.0
01,2013,73.50,21.25,0.0
01,2013,73.50,21.50,0.0
01,2013,73.50,21.75,0.0
01,2013,73.50,22.00,0.0
01,2013,73.50,22.25,0.0
01,2013,73.50,22.50,0.0
01,2013,73.50,22.75,0.0
01,2013,73.50,23.00,0.0
01,2013,73.50,23.25,0.0
01,2013,73.50,23.50,0.0
01,2013,73.50,23.75,0.0
01,2013,73.50,24.00,0.0
01,2013,73.50,24.25,0.0
01,2013,73.50,24.50,0.0
01,2013,73.75,20.25,0.0
01,2013,73.75,20.50,0.0
01,2013,73.75,20.75,0.0
01,2013,73.75,21.00,0.0
01,2013,73.75,21.25,0.0
01,2013,73.75,21.50,0.0
01,2013,73.75,21.75,0.0
01,2013,73.75,22.00,0.0
01,2013,73.75,22.25,0.0
01,2013,73.75,22.50,0.0
01,2013,73.75,22.75,0.0
01,2013,73.75,23.00,0.0
01,2013,73.75,23.25,0.0
01,2013,73.75,23.50,0.0
01,2013,73.75,23.75,0.0
01,2013,73.75,24.00,0.0
01,2013,73.75,24.25,0.0
01,2013,73.75,24.50,0.0
01,2013,74.00,20.25,0.0
01,2013,74.00,20.50,0.0
01,2013,74.00,20.75,0.0
01,2013,74.00,21.00,0.0
01,2013,74.00,21.25,0.0
01,2013,74.00,21.50,0.0
01,2013,74.00,21.75,0.0
01,2013,74.00,22.00,0.0
01,2013,74.00,22.25,0.0
01,2013,74.00,22.50,0.0
01,2013,74.00,22.75,0.0
01,2013,74.00,23.00,0.0
01,2013,74.00,23.25,0.0
01,2013,74.00,23.50,0.0
01,2013,74.00,23.75,0.0
01,2013,74.00,24.00,0.0
01,2013,74.00,24.25,0.0
01,2013,74.00,24.50,0.0
01,2013,74.25,20.25,0.0
01,2013,74.25,20.50,0.0
01,2013,74.25,20.75,0.0
01,2013,74.25,21.00,0.0
01,2013,74.25,21.25,0.0
01,2013,74.25,21.50,0.0
01,2013,74.25,21.75,0.0
01,2013,74.25,22.00,0.0
01,2013,74.25,22.25,0.0
01,2013,74.25,22.50,0.0
01,2013,74.25,22.75,0.0
01,2013,74.25,23.00,0.0
01,2013,74.25,23.25,0.0
01,2013,74.25,23.50,0.0
01,2013,74.25,23.75,0.0
01,2013,74.25,24.00,0.0
01,2013,74.25,24.25,0.0
01,2013,74.25,24.50,0.0
02,2013,68.75,20.25,0.0
02,2013,68.75,20.50,0.0
02,2013,68.75,20.75,0.0
02,2013,68.75,21.00,0.0
02,2013,68.75,21.25,0.0
02,2013,68.75,21.50,0.0
02,2013,68.75,21.75,0.0
02,2013,68.75,22.00,0.0
02,2013,68.75,22.25,0.0
02,2013,68.75,22.50,0.0
02,2013,68.75,22.75,0.0
02,2013,68.75,23.00,0.0
02,2013,68.75,23.25,0.0
02,2013,68.75,23.50,0.0
02,2013,68.75,23.75,0.0
02,2013,68.75,24.00,0.0
02,2013,68.75,24.25,0.0
02,2013,68.75,24.50,0.0
02,2013,69.00,20.25,0.0
02,2013,69.00,20.50,0.0
02,2013,69.00,20.75,0.0
02,2013,69.00,21.00,0.0
02,2013,69.00,21.25,0.0
02,2013,69.00,21.50,0.0
02,2013,69.00,21.75,0.0
02,2013,69.00,22.00,0.0
02,2013,69.00,22.25,0.0
02,2013,69.00,22.50,0.0
02,2013,69.00,22.75,0.0
02,2013,69.00,23.00,0.0
02,2013,69.00,23.25,0.0
02,2013,69.00,23.50,0.0
02,2013,69.00,23.75,0.0
02,2013,69.00,24.00,0.0
02,2013,69.00,24.25,0.0
02,2013,69.00,24.50,0.0
02,2013,69.25,20.25,0.0
02,2013,69.25,20.50,0.0
02,2013,69.25,20.75,0.0
02,2013,69.25,21.00,0.0
02,2013,69.25,21.25,0.0
02,2013,69.25,21.50,0.0
02,2013,69.25,21.75,0.0
02,2013,69.25,22.00,0.0
02,2013,69.25,22.25,0.0
02,2013,69.25,22.50,0.0
02,2013,69.25,22.75,0.0
02,2013,69.25,23.00,0.0
02,2013,69.25,23.25,0.0
02,2013,69.25,23.50,0.0
02,2013,69.25,23.75,0.0
02,2013,69.25,24.00,0.0
02,2013,69.25,24.25,0.0
02,2013,69.25,24.50,0.0
02,2013,69.50,20.25,0.0
02,2013,69.50,20.50,0.0
02,2013,69.50,20.75,0.0
02,2013,69.50,21.00,0.0
02,2013,69.50,21.25,0.0
02,2013,69.50,21.50,0.0
02,2013,69.50,21.75,1.3
02,2013,69.50,22.00,0.0
02,2013,69.50,22.25,0.0
02,2013,69.50,22.50,0.0
02,2013,69.50,22.75,3.3
02,2013,69.50,23.00,0.3
02,2013,69.50,23.25,0.0
02,2013,69.50,23.50,0.0
02,2013,69.50,23.75,0.0
02,2013,69.50,24.00,1.9
02,2013,69.50,24.25,0.0
02,2013,69.50,24.50,0.0
02,2013,69.75,20.25,0.0
02,2013,69.75,20.50,0.0
02,2013,69.75,20.75,0.0
02,2013,69.75,21.00,0.0
02,2013,69.75,21.25,0.0
02,2013,69.75,21.50,0.0
02,2013,69.75,21.75,0.0
02,2013,69.75,22.00,0.0
02,2013,69.75,22.25,0.0
02,2013,69.75,22.50,0.0
02,2013,69.75,22.75,0.0
02,2013,69.75,23.00,0.0
02,2013,69.75,23.25,0.0
02,2013,69.75,23.50,0.0
02,2013,69.75,23.75,0.0
02,2013,69.75,24.00,0.0
02,2013,69.75,24.25,0.0
02,2013,69.75,24.50,0.0
02,2013,70.00,20.25,0.0
02,2013,70.00,20.50,0.0
02,2013,70.00,20.75,0.0
02,2013,70.00,21.00,0.0
02,2013,70.00,21.25,0.0
02,2013,70.00,21.50,0.0
02,2013,70.00,21.75,0.0
02,2013,70.00,22.00,0.0
02,2013,70.00,22.25,0.0
02,2013,70.00,22.50,0.0
02,2013,70.00,22.75,0.0
02,2013,70.00,23.00,0.0
02,2013,70.00,23.25,0.0
02,2013,70.00,23.50,0.0
02,2013,70.00,23.75,0.0
02,2013,70.00,24.00,0.0
02,2013,70.00,24.25,0.0
02,2013,70.00,24.50,0.0
02,2013,70.25,20.25,0.0
02,2013,70.25,20.50,0.0
02,2013,70.25,20.75,0.0
02,2013,70.25,21.00,0.0
02,2013,70.25,21.25,0.0
02,2013,70.25,21.50,0.0
02,2013,70.25,21.75,0.0
