mm,yy,Longitude,Latitude,Temperature
01,2017,  68.50,   19.50,   14.2
01,2017,  68.50,   20.50,   14.2
01,2017,  68.50,   21.50,   13.7
01,2017,  68.50,   22.50,   12.6
01,2017,  68.50,   23.50,   11.8
01,2017,  68.50,   24.50,   11.2
01,2017,  68.50,   25.50,   10.7
01,2017,  69.50,   19.50,   13.5
01,2017,  69.50,   20.50,   13.6
01,2017,  69.50,   21.50,   13.2
01,2017,  69.50,   22.50,   12.2
01,2017,  69.50,   23.50,   11.5
01,2017,  69.50,   24.50,   11.3
01,2017,  69.50,   25.50,   11.0
01,2017,  70.50,   19.50,   12.7
01,2017,  70.50,   20.50,   12.5
01,2017,  70.50,   21.50,   12.2
01,2017,  70.50,   22.50,   11.1
01,2017,  70.50,   23.50,   10.6
01,2017,  70.50,   24.50,   10.6
01,2017,  70.50,   25.50,   10.2
01,2017,  71.50,   19.50,   12.5
01,2017,  71.50,   20.50,   12.3
01,2017,  71.50,   21.50,   11.8
01,2017,  71.50,   22.50,   10.8
01,2017,  71.50,   23.50,   10.4
01,2017,  71.50,   24.50,   10.4
01,2017,  71.50,   25.50,    9.9
01,2017,  72.50,   19.50,   11.9
01,2017,  72.50,   20.50,   12.2
01,2017,  72.50,   21.50,   12.0
01,2017,  72.50,   22.50,   11.2
01,2017,  72.50,   23.50,   10.9
01,2017,  72.50,   24.50,   10.9
01,2017,  72.50,   25.50,   10.4
01,2017,  73.50,   19.50,   12.2
01,2017,  73.50,   20.50,   12.7
01,2017,  73.50,   21.50,   12.5
01,2017,  73.50,   22.50,   11.8
01,2017,  73.50,   23.50,   11.5
01,2017,  73.50,   24.50,   11.2
01,2017,  73.50,   25.50,   10.3
01,2017,  74.50,   19.50,   13.4
01,2017,  74.50,   20.50,   13.2
01,2017,  74.50,   21.50,   12.5
01,2017,  74.50,   22.50,   11.8
01,2017,  74.50,   23.50,   11.3
01,2017,  74.50,   24.50,   10.8
01,2017,  74.50,   25.50,   10.4
02,2017,  68.50,   19.50,   18.5
02,2017,  68.50,   20.50,   18.5
02,2017,  68.50,   21.50,   17.7
02,2017,  68.50,   22.50,   16.6
02,2017,  68.50,   23.50,   16.3
02,2017,  68.50,   24.50,   16.1
02,2017,  68.50,   25.50,   15.2
02,2017,  69.50,   19.50,   17.9
02,2017,  69.50,   20.50,   17.8
02,2017,  69.50,   21.50,   18.6
02,2017,  69.50,   22.50,   19.2
02,2017,  69.50,   23.50,   18.3
02,2017,  69.50,   24.50,   18.4
02,2017,  69.50,   25.50,   18.0
02,2017,  70.50,   19.50,   21.1
02,2017,  70.50,   20.50,   19.6
02,2017,  70.50,   21.50,   19.0
02,2017,  70.50,   22.50,   18.0
02,2017,  70.50,   23.50,   16.2
02,2017,  70.50,   24.50,   18.7
02,2017,  70.50,   25.50,   17.7
02,2017,  71.50,   19.50,    nan
02,2017,  71.50,   20.50,    nan
02,2017,  71.50,   21.50,   21.6
02,2017,  71.50,   22.50,   20.1
02,2017,  71.50,   23.50,   17.4
02,2017,  71.50,   24.50,   20.0
02,2017,  71.50,   25.50,   17.6
02,2017,  72.50,   19.50,    4.1
02,2017,  72.50,   20.50,    3.0
02,2017,  72.50,   21.50,    2.7
02,2017,  72.50,   22.50,    nan
02,2017,  72.50,   23.50,    nan
02,2017,  72.50,   24.50,   22.9
02,2017,  72.50,   25.50,   21.4
02,2017,  73.50,   19.50,    7.3
02,2017,  73.50,   20.50,    4.5
02,2017,  73.50,   21.50,    2.4
02,2017,  73.50,   22.50,    0.9
02,2017,  73.50,   23.50,    0.3
02,2017,  73.50,   24.50,   -1.3
02,2017,  73.50,   25.50,   -0.2
02,2017,  74.50,   19.50,    9.7
02,2017,  74.50,   20.50,    9.5
02,2017,  74.50,   21.50,    8.5
02,2017,  74.50,   22.50,    5.6
02,2017,  74.50,   23.50,    3.7
02,2017,  74.50,   24.50,    2.4
02,2017,  74.50,   25.50,    1.1
03,2017,  68.50,   19.50,   18.4
03,2017,  68.50,   20.50,   18.6
03,2017,  68.50,   21.50,   18.3
03,2017,  68.50,   22.50,   17.4
03,2017,  68.50,   23.50,   16.4
03,2017,  68.50,   24.50,   16.2
03,2017,  68.50,   25.50,   15.8
03,2017,  69.50,   19.50,   18.5
03,2017,  69.50,   20.50,   18.8
03,2017,  69.50,   21.50,   18.6
03,2017,  69.50,   22.50,   17.7
03,2017,  69.50,   23.50,   16.6
03,2017,  69.50,   24.50,   16.3
03,2017,  69.50,   25.50,   15.9
03,2017,  70.50,   19.50,   18.2
03,2017,  70.50,   20.50,   18.4
03,2017,  70.50,   21.50,   18.3
03,2017,  70.50,   22.50,   17.6
03,2017,  70.50,   23.50,   16.8
03,2017,  70.50,   24.50,   16.4
03,2017,  70.50,   25.50,   15.6
03,2017,  71.50,   19.50,   19.4
03,2017,  71.50,   20.50,   19.0
03,2017,  71.50,   21.50,   18.4
03,2017,  71.50,   22.50,   17.3
03,2017,  71.50,   23.50,   16.3
03,2017,  71.50,   24.50,   15.7
03,2017,  71.50,   25.50,   14.7
03,2017,  72.50,   19.50,   19.7
03,2017,  72.50,   20.50,   18.9
03,2017,  72.50,   21.50,   18.0
03,2017,  72.50,   22.50,   16.5
03,2017,  72.50,   23.50,   15.1
03,2017,  72.50,   24.50,   14.4
03,2017,  72.50,   25.50,   13.4
03,2017,  73.50,   19.50,   19.6
03,2017,  73.50,   20.50,   18.9
03,2017,  73.50,   21.50,   18.0
03,2017,  73.50,   22.50,   16.5
03,2017,  73.50,   23.50,   15.0
03,2017,  73.50,   24.50,   14.3
03,2017,  73.50,   25.50,   13.4
03,2017,  74.50,   19.50,   20.4
03,2017,  74.50,   20.50,   19.9
03,2017,  74.50,   21.50,   19.1
03,2017,  74.50,   22.50,   18.1
03,2017,  74.50,   23.50,   16.9
03,2017,  74.50,   24.50,   16.1
03,2017,  74.50,   25.50,   15.2
04,2017,  68.50,   19.50,   24.4
04,2017,  68.50,   20.50,   24.3
04,2017,  68.50,   21.50,   24.2
04,2017,  68.50,   22.50,   23.7
04,2017,  68.50,   23.50,   23.5
04,2017,  68.50,   24.50,   23.0
04,2017,  68.50,   25.50,   22.5
04,2017,  69.50,   19.50,   24.3
04,2017,  69.50,   20.50,   24.0
04,2017,  69.50,   21.50,   24.0
04,2017,  69.50,   22.50,   24.1
04,2017,  69.50,   23.50,   23.6
04,2017,  69.50,   24.50,   23.3
04,2017,  69.50,   25.50,   22.9
04,2017,  70.50,   19.50,   24.2
