mm,yy,Longitude,Latitude,Temperature
01,2014,  68.50,   19.50,   29.3
01,2014,  68.50,   20.50,   28.3
01,2014,  68.50,   21.50,   26.4
01,2014,  68.50,   22.50,   24.6
01,2014,  68.50,   23.50,   22.8
01,2014,  68.50,   24.50,   21.6
01,2014,  68.50,   25.50,   21.1
01,2014,  69.50,   19.50,   29.5
01,2014,  69.50,   20.50,   28.9
01,2014,  69.50,   21.50,   27.4
01,2014,  69.50,   22.50,   25.9
01,2014,  69.50,   23.50,   24.3
01,2014,  69.50,   24.50,   22.8
01,2014,  69.50,   25.50,   21.7
01,2014,  70.50,   19.50,   29.3
01,2014,  70.50,   20.50,   28.7
01,2014,  70.50,   21.50,   27.5
01,2014,  70.50,   22.50,   26.4
01,2014,  70.50,   23.50,   24.9
01,2014,  70.50,   24.50,   23.7
01,2014,  70.50,   25.50,   22.8
01,2014,  71.50,   19.50,   29.3
01,2014,  71.50,   20.50,   28.4
01,2014,  71.50,   21.50,   26.7
01,2014,  71.50,   22.50,   25.4
01,2014,  71.50,   23.50,   23.8
01,2014,  71.50,   24.50,   22.7
01,2014,  71.50,   25.50,   21.9
01,2014,  72.50,   19.50,   28.8
01,2014,  72.50,   20.50,   27.5
01,2014,  72.50,   21.50,   25.9
01,2014,  72.50,   22.50,   24.4
01,2014,  72.50,   23.50,   23.2
01,2014,  72.50,   24.50,   22.1
01,2014,  72.50,   25.50,   21.3
01,2014,  73.50,   19.50,   29.1
01,2014,  73.50,   20.50,   28.1
01,2014,  73.50,   21.50,   26.4
01,2014,  73.50,   22.50,   24.9
01,2014,  73.50,   23.50,   23.6
01,2014,  73.50,   24.50,   22.2
01,2014,  73.50,   25.50,   20.8
01,2014,  74.50,   19.50,   29.8
01,2014,  74.50,   20.50,   29.1
01,2014,  74.50,   21.50,   27.7
01,2014,  74.50,   22.50,   26.5
01,2014,  74.50,   23.50,   25.1
01,2014,  74.50,   24.50,   23.5
01,2014,  74.50,   25.50,   22.0
02,2014,  68.50,   19.50,   31.6
02,2014,  68.50,   20.50,   31.1
02,2014,  68.50,   21.50,   30.3
02,2014,  68.50,   22.50,   30.7
02,2014,  68.50,   23.50,   30.3
02,2014,  68.50,   24.50,   30.4
02,2014,  68.50,   25.50,   29.8
02,2014,  69.50,   19.50,   31.0
02,2014,  69.50,   20.50,   31.5
