mm,yy,Longitude,Latitude,Temperature
01,2017,  68.50,   19.50,   30.1
01,2017,  68.50,   20.50,   29.6
01,2017,  68.50,   21.50,   28.0
01,2017,  68.50,   22.50,   26.5
01,2017,  68.50,   23.50,   25.1
01,2017,  68.50,   24.50,   24.0
01,2017,  68.50,   25.50,   23.0
01,2017,  69.50,   19.50,   28.9
01,2017,  69.50,   20.50,   28.3
01,2017,  69.50,   21.50,   27.1
01,2017,  69.50,   22.50,   25.8
01,2017,  69.50,   23.50,   25.0
01,2017,  69.50,   24.50,   24.5
01,2017,  69.50,   25.50,   23.7
01,2017,  70.50,   19.50,   29.1
01,2017,  70.50,   20.50,   28.9
01,2017,  70.50,   21.50,   27.9
01,2017,  70.50,   22.50,   26.9
01,2017,  70.50,   23.50,   25.9
01,2017,  70.50,   24.50,   24.9
01,2017,  70.50,   25.50,   24.1
01,2017,  71.50,   19.50,   29.8
01,2017,  71.50,   20.50,   29.4
01,2017,  71.50,   21.50,   28.4
01,2017,  71.50,   22.50,   27.4
01,2017,  71.50,   23.50,   26.5
01,2017,  71.50,   24.50,   25.4
01,2017,  71.50,   25.50,   24.5
01,2017,  72.50,   19.50,   29.8
01,2017,  72.50,   20.50,   29.3
01,2017,  72.50,   21.50,   28.4
01,2017,  72.50,   22.50,   27.4
01,2017,  72.50,   23.50,   26.3
01,2017,  72.50,   24.50,   24.9
01,2017,  72.50,   25.50,   24.0
01,2017,  73.50,   19.50,   29.3
01,2017,  73.50,   20.50,   28.8
01,2017,  73.50,   21.50,   27.9
01,2017,  73.50,   22.50,   27.0
01,2017,  73.50,   23.50,   25.7
01,2017,  73.50,   24.50,   24.5
01,2017,  73.50,   25.50,   23.5
01,2017,  74.50,   19.50,   29.6
01,2017,  74.50,   20.50,   28.9
01,2017,  74.50,   21.50,   28.0
01,2017,  74.50,   22.50,   26.9
01,2017,  74.50,   23.50,   25.7
01,2017,  74.50,   24.50,   24.4
01,2017,  74.50,   25.50,   23.4
02,2017,  68.50,   19.50,   33.0
02,2017,  68.50,   20.50,   32.3
02,2017,  68.50,   21.50,   31.8
02,2017,  68.50,   22.50,   32.8
02,2017,  68.50,   23.50,   31.9
02,2017,  68.50,   24.50,   31.6
02,2017,  68.50,   25.50,   31.3
02,2017,  69.50,   19.50,   30.5
02,2017,  69.50,   20.50,   31.1
02,2017,  69.50,   21.50,   31.8
02,2017,  69.50,   22.50,   32.6
02,2017,  69.50,   23.50,   32.5
02,2017,  69.50,   24.50,   31.6
02,2017,  69.50,   25.50,   31.6
02,2017,  70.50,   19.50,   30.8
02,2017,  70.50,   20.50,   30.2
02,2017,  70.50,   21.50,   30.6
02,2017,  70.50,   22.50,   30.4
02,2017,  70.50,   23.50,   31.3
02,2017,  70.50,   24.50,   31.4
02,2017,  70.50,   25.50,   31.9
02,2017,  71.50,   19.50,    nan
02,2017,  71.50,   20.50,    nan
02,2017,  71.50,   21.50,   32.6
02,2017,  71.50,   22.50,   31.5
02,2017,  71.50,   23.50,   30.6
02,2017,  71.50,   24.50,   31.7
02,2017,  71.50,   25.50,   30.9
02,2017,  72.50,   19.50,    9.8
02,2017,  72.50,   20.50,    8.3
02,2017,  72.50,   21.50,    7.7
02,2017,  72.50,   22.50,    nan
02,2017,  72.50,   23.50,    nan
02,2017,  72.50,   24.50,   32.9
02,2017,  72.50,   25.50,   31.7
02,2017,  73.50,   19.50,   19.1
02,2017,  73.50,   20.50,   15.8
02,2017,  73.50,   21.50,   13.4
02,2017,  73.50,   22.50,   12.1
02,2017,  73.50,   23.50,   11.4
