mm,yy,Longitude,Latitude,Temperature
01,2013,  68.50,   19.50,   18.0
01,2013,  68.50,   20.50,   17.0
01,2013,  68.50,   21.50,   15.3
01,2013,  68.50,   22.50,   13.1
01,2013,  68.50,   23.50,   10.7
01,2013,  68.50,   24.50,    9.1
01,2013,  68.50,   25.50,    7.9
01,2013,  69.50,   19.50,   16.9
01,2013,  69.50,   20.50,   15.3
01,2013,  69.50,   21.50,   13.6
01,2013,  69.50,   22.50,   11.6
01,2013,  69.50,   23.50,    9.6
01,2013,  69.50,   24.50,    8.4
01,2013,  69.50,   25.50,    7.5
01,2013,  70.50,   19.50,   15.2
01,2013,  70.50,   20.50,   13.4
01,2013,  70.50,   21.50,   11.7
01,2013,  70.50,   22.50,    9.7
01,2013,  70.50,   23.50,    8.1
01,2013,  70.50,   24.50,    7.2
01,2013,  70.50,   25.50,    6.5
01,2013,  71.50,   19.50,   14.7
01,2013,  71.50,   20.50,   13.0
01,2013,  71.50,   21.50,   11.4
01,2013,  71.50,   22.50,    9.6
01,2013,  71.50,   23.50,    7.9
01,2013,  71.50,   24.50,    6.7
01,2013,  71.50,   25.50,    5.7
01,2013,  72.50,   19.50,   14.8
01,2013,  72.50,   20.50,   13.1
01,2013,  72.50,   21.50,   11.3
01,2013,  72.50,   22.50,    9.5
01,2013,  72.50,   23.50,    7.8
01,2013,  72.50,   24.50,    6.6
01,2013,  72.50,   25.50,    5.5
01,2013,  73.50,   19.50,   14.5
01,2013,  73.50,   20.50,   12.8
01,2013,  73.50,   21.50,   11.0
01,2013,  73.50,   22.50,    9.1
01,2013,  73.50,   23.50,    7.3
01,2013,  73.50,   24.50,    6.1
01,2013,  73.50,   25.50,    5.1
01,2013,  74.50,   19.50,   13.6
01,2013,  74.50,   20.50,   11.5
01,2013,  74.50,   21.50,    9.5
01,2013,  74.50,   22.50,    7.6
01,2013,  74.50,   23.50,    6.3
01,2013,  74.50,   24.50,    5.6
01,2013,  74.50,   25.50,    4.7
02,2013,  68.50,   19.50,   17.8
02,2013,  68.50,   20.50,   17.6
02,2013,  68.50,   21.50,   16.8
02,2013,  68.50,   22.50,   16.5
02,2013,  68.50,   23.50,   16.0
02,2013,  68.50,   24.50,   15.6
02,2013,  68.50,   25.50,   15.0
02,2013,  69.50,   19.50,   16.2
02,2013,  69.50,   20.50,   15.6
02,2013,  69.50,   21.50,   16.6
02,2013,  69.50,   22.50,   17.6
02,2013,  69.50,   23.50,   17.4
02,2013,  69.50,   24.50,   17.5
02,2013,  69.50,   25.50,   17.1
02,2013,  70.50,   19.50,   21.4
02,2013,  70.50,   20.50,   19.5
02,2013,  70.50,   21.50,   18.4
02,2013,  70.50,   22.50,   16.9
02,2013,  70.50,   23.50,   14.3
02,2013,  70.50,   24.50,   17.6
02,2013,  70.50,   25.50,   16.4
02,2013,  71.50,   19.50,    nan
02,2013,  71.50,   20.50,    nan
02,2013,  71.50,   21.50,   23.2
02,2013,  71.50,   22.50,   22.5
02,2013,  71.50,   23.50,   18.8
02,2013,  71.50,   24.50,   22.3
02,2013,  71.50,   25.50,   19.5
02,2013,  72.50,   19.50,    2.6
02,2013,  72.50,   20.50,    1.7
02,2013,  72.50,   21.50,    2.1
02,2013,  72.50,   22.50,    nan
02,2013,  72.50,   23.50,    nan
02,2013,  72.50,   24.50,   24.1
02,2013,  72.50,   25.50,   23.8
02,2013,  73.50,   19.50,    6.1
02,2013,  73.50,   20.50,    2.7
02,2013,  73.50,   21.50,    0.5
02,2013,  73.50,   22.50,   -1.3
02,2013,  73.50,   23.50,   -2.3
02,2013,  73.50,   24.50,   -3.7
02,2013,  73.50,   25.50,   -2.5
02,2013,  74.50,   19.50,    9.6
02,2013,  74.50,   20.50,    9.0
02,2013,  74.50,   21.50,    7.1
02,2013,  74.50,   22.50,    3.9
02,2013,  74.50,   23.50,    1.4
02,2013,  74.50,   24.50,    0.4
02,2013,  74.50,   25.50,   -1.3
03,2013,  68.50,   19.50,   16.7
03,2013,  68.50,   20.50,   16.0
03,2013,  68.50,   21.50,   14.8
03,2013,  68.50,   22.50,   13.2
03,2013,  68.50,   23.50,   12.3
03,2013,  68.50,   24.50,   12.1
03,2013,  68.50,   25.50,   11.9
03,2013,  69.50,   19.50,   15.1
03,2013,  69.50,   20.50,   14.8
03,2013,  69.50,   21.50,   14.4
03,2013,  69.50,   22.50,   13.3
03,2013,  69.50,   23.50,   12.8
03,2013,  69.50,   24.50,   12.8
03,2013,  69.50,   25.50,   12.7
03,2013,  70.50,   19.50,   14.9
03,2013,  70.50,   20.50,   14.9
03,2013,  70.50,   21.50,   14.7
03,2013,  70.50,   22.50,   13.8
03,2013,  70.50,   23.50,   13.3
03,2013,  70.50,   24.50,   13.4
03,2013,  70.50,   25.50,   13.3
03,2013,  71.50,   19.50,   15.7
03,2013,  71.50,   20.50,   15.6
03,2013,  71.50,   21.50,   15.5
03,2013,  71.50,   22.50,   14.7
03,2013,  71.50,   23.50,   14.1
03,2013,  71.50,   24.50,   14.2
03,2013,  71.50,   25.50,   14.0
03,2013,  72.50,   19.50,   17.0
03,2013,  72.50,   20.50,   17.0
03,2013,  72.50,   21.50,   16.6
03,2013,  72.50,   22.50,   15.6
03,2013,  72.50,   23.50,   14.8
03,2013,  72.50,   24.50,   14.8
03,2013,  72.50,   25.50,   14.5
03,2013,  73.50,   19.50,   16.6
03,2013,  73.50,   20.50,   16.6
03,2013,  73.50,   21.50,   16.7
03,2013,  73.50,   22.50,   15.9
03,2013,  73.50,   23.50,   15.2
03,2013,  73.50,   24.50,   15.3
03,2013,  73.50,   25.50,   14.9
03,2013,  74.50,   19.50,   17.8
03,2013,  74.50,   20.50,   17.5
03,2013,  74.50,   21.50,   17.2
03,2013,  74.50,   22.50,   16.3
03,2013,  74.50,   23.50,   15.6
03,2013,  74.50,   24.50,   15.5
03,2013,  74.50,   25.50,   15.1
04,2013,  68.50,   19.50,   22.5
04,2013,  68.50,   20.50,   22.3
04,2013,  68.50,   21.50,   22.1
04,2013,  68.50,   22.50,   22.1
04,2013,  68.50,   23.50,   21.9
04,2013,  68.50,   24.50,   21.0
04,2013,  68.50,   25.50,   20.3
04,2013,  69.50,   19.50,   22.5
04,2013,  69.50,   20.50,   22.0
04,2013,  69.50,   21.50,   21.8
04,2013,  69.50,   22.50,   21.8
04,2013,  69.50,   23.50,   21.4
04,2013,  69.50,   24.50,   21.3
04,2013,  69.50,   25.50,   20.7
04,2013,  70.50,   19.50,   23.4
04,2013,  70.50,   20.50,   22.8
04,2013,  70.50,   21.50,   22.2
04,2013,  70.50,   22.50,   22.0
