mm,yy,Longitude,Latitude,Temperature
01,2012,  68.50,   19.50,   29.4
01,2012,  68.50,   20.50,   27.5
01,2012,  68.50,   21.50,   25.6
01,2012,  68.50,   22.50,   23.6
01,2012,  68.50,   23.50,   21.7
01,2012,  68.50,   24.50,   20.3
01,2012,  68.50,   25.50,   19.5
01,2012,  69.50,   19.50,   29.8
01,2012,  69.50,   20.50,   28.4
01,2012,  69.50,   21.50,   26.4
01,2012,  69.50,   22.50,   24.5
01,2012,  69.50,   23.50,   23.1
01,2012,  69.50,   24.50,   22.0
01,2012,  69.50,   25.50,   21.4
01,2012,  70.50,   19.50,   30.4
01,2012,  70.50,   20.50,   29.1
01,2012,  70.50,   21.50,   27.1
01,2012,  70.50,   22.50,   25.7
01,2012,  70.50,   23.50,   24.5
01,2012,  70.50,   24.50,   23.6
01,2012,  70.50,   25.50,   22.6
01,2012,  71.50,   19.50,   31.0
01,2012,  71.50,   20.50,   29.8
01,2012,  71.50,   21.50,   28.1
01,2012,  71.50,   22.50,   26.7
01,2012,  71.50,   23.50,   25.3
01,2012,  71.50,   24.50,   23.9
01,2012,  71.50,   25.50,   22.7
01,2012,  72.50,   19.50,   31.1
01,2012,  72.50,   20.50,   29.6
01,2012,  72.50,   21.50,   27.8
01,2012,  72.50,   22.50,   26.3
01,2012,  72.50,   23.50,   24.7
01,2012,  72.50,   24.50,   23.2
01,2012,  72.50,   25.50,   22.1
01,2012,  73.50,   19.50,   30.2
01,2012,  73.50,   20.50,   28.3
01,2012,  73.50,   21.50,   26.3
01,2012,  73.50,   22.50,   24.9
01,2012,  73.50,   23.50,   23.7
01,2012,  73.50,   24.50,   22.7
01,2012,  73.50,   25.50,   21.9
01,2012,  74.50,   19.50,   29.8
01,2012,  74.50,   20.50,   27.8
01,2012,  74.50,   21.50,   25.5
01,2012,  74.50,   22.50,   23.8
01,2012,  74.50,   23.50,   22.7
01,2012,  74.50,   24.50,   21.9
01,2012,  74.50,   25.50,   21.2
02,2012,  68.50,   19.50,   31.3
02,2012,  68.50,   20.50,   30.6
02,2012,  68.50,   21.50,   30.1
02,2012,  68.50,   22.50,   29.3
02,2012,  68.50,   23.50,   28.2
02,2012,  68.50,   24.50,   27.0
02,2012,  68.50,   25.50,   26.0
02,2012,  69.50,   19.50,   31.0
02,2012,  69.50,   20.50,   31.7
02,2012,  69.50,   21.50,   31.2
02,2012,  69.50,   22.50,   30.6
02,2012,  69.50,   23.50,   30.3
02,2012,  69.50,   24.50,   29.9
02,2012,  69.50,   25.50,   29.4
02,2012,  70.50,   19.50,   30.3
02,2012,  70.50,   20.50,   30.7
02,2012,  70.50,   21.50,   31.4
02,2012,  70.50,   22.50,   32.1
02,2012,  70.50,   23.50,   31.7
02,2012,  70.50,   24.50,   31.2
02,2012,  70.50,   25.50,   30.9
02,2012,  71.50,   19.50,   30.4
02,2012,  71.50,   20.50,   30.7
02,2012,  71.50,   21.50,   30.5
02,2012,  71.50,   22.50,   31.0
02,2012,  71.50,   23.50,   31.8
02,2012,  71.50,   24.50,   32.5
02,2012,  71.50,   25.50,   32.1
02,2012,  72.50,   19.50,   31.4
02,2012,  72.50,   20.50,   31.0
02,2012,  72.50,   21.50,   30.6
02,2012,  72.50,   22.50,   30.9
02,2012,  72.50,   23.50,   30.9
02,2012,  72.50,   24.50,   31.4
02,2012,  72.50,   25.50,   32.3
02,2012,  73.50,   19.50,    nan
02,2012,  73.50,   20.50,    nan
02,2012,  73.50,   21.50,   32.8
02,2012,  73.50,   22.50,   32.0
02,2012,  73.50,   23.50,   31.3
02,2012,  73.50,   24.50,   31.5
02,2012,  73.50,   25.50,   31.5
02,2012,  74.50,   19.50,    9.9
02,2012,  74.50,   20.50,   10.2
02,2012,  74.50,   21.50,    nan
02,2012,  74.50,   22.50,    nan
02,2012,  74.50,   23.50,   32.7
02,2012,  74.50,   24.50,   31.8
02,2012,  74.50,   25.50,   31.5
03,2012,  68.50,   19.50,   33.8
03,2012,  68.50,   20.50,   32.8
03,2012,  68.50,   21.50,   31.9
03,2012,  68.50,   22.50,   31.2
03,2012,  68.50,   23.50,   30.5
03,2012,  68.50,   24.50,   30.3
03,2012,  68.50,   25.50,   29.9
03,2012,  69.50,   19.50,   33.8
03,2012,  69.50,   20.50,   33.1
03,2012,  69.50,   21.50,   32.4
03,2012,  69.50,   22.50,   31.8
03,2012,  69.50,   23.50,   31.2
03,2012,  69.50,   24.50,   30.8
03,2012,  69.50,   25.50,   30.3
03,2012,  70.50,   19.50,   34.9
03,2012,  70.50,   20.50,   34.4
03,2012,  70.50,   21.50,   33.9
03,2012,  70.50,   22.50,   33.3
03,2012,  70.50,   23.50,   32.5
03,2012,  70.50,   24.50,   31.9
03,2012,  70.50,   25.50,   31.3
03,2012,  71.50,   19.50,   36.0
03,2012,  71.50,   20.50,   35.5
03,2012,  71.50,   21.50,   34.8
03,2012,  71.50,   22.50,   33.9
03,2012,  71.50,   23.50,   32.7
03,2012,  71.50,   24.50,   31.8
03,2012,  71.50,   25.50,   31.1
03,2012,  72.50,   19.50,   36.0
03,2012,  72.50,   20.50,   35.2
03,2012,  72.50,   21.50,   34.5
03,2012,  72.50,   22.50,   33.6
03,2012,  72.50,   23.50,   32.2
03,2012,  72.50,   24.50,   31.3
03,2012,  72.50,   25.50,   30.6
03,2012,  73.50,   19.50,   34.9
03,2012,  73.50,   20.50,   34.0
03,2012,  73.50,   21.50,   33.0
03,2012,  73.50,   22.50,   32.2
03,2012,  73.50,   23.50,   31.2
03,2012,  73.50,   24.50,   30.6
03,2012,  73.50,   25.50,   30.1
03,2012,  74.50,   19.50,   33.6
03,2012,  74.50,   20.50,   32.7
03,2012,  74.50,   21.50,   31.9
03,2012,  74.50,   22.50,   31.2
03,2012,  74.50,   23.50,   30.4
03,2012,  74.50,   24.50,   29.9
03,2012,  74.50,   25.50,   29.5
04,2012,  68.50,   19.50,   37.5
04,2012,  68.50,   20.50,   38.9
04,2012,  68.50,   21.50,   39.0
04,2012,  68.50,   22.50,   39.0
04,2012,  68.50,   23.50,   38.7
04,2012,  68.50,   24.50,   38.2
04,2012,  68.50,   25.50,   38.1
04,2012,  69.50,   19.50,   37.4
04,2012,  69.50,   20.50,   37.8
04,2012,  69.50,   21.50,   39.0
04,2012,  69.50,   22.50,   38.9
04,2012,  69.50,   23.50,   38.9
04,2012,  69.50,   24.50,   38.8
04,2012,  69.50,   25.50,   38.6
04,2012,  70.50,   19.50,   37.2
04,2012,  70.50,   20.50,   37.6
04,2012,  70.50,   21.50,   38.3
04,2012,  70.50,   22.50,   39.1
04,2012,  70.50,   23.50,   38.9
04,2012,  70.50,   24.50,   39.0
04,2012,  70.50,   25.50,   38.9
04,2012,  71.50,   19.50,   37.2
04,2012,  71.50,   20.50,   37.4
04,2012,  71.50,   21.50,   38.0
04,2012,  71.50,   22.50,   38.1
04,2012,  71.50,   23.50,   38.5
04,2012,  71.50,   24.50,   38.0
04,2012,  71.50,   25.50,   37.8
