mm,yy,Longitude,Latitude,Temperature
01,2014,  68.50,   19.50,   14.1
01,2014,  68.50,   20.50,   14.3
01,2014,  68.50,   21.50,   13.8
01,2014,  68.50,   22.50,   12.6
01,2014,  68.50,   23.50,   11.5
01,2014,  68.50,   24.50,   10.6
01,2014,  68.50,   25.50,    9.5
01,2014,  69.50,   19.50,   14.1
01,2014,  69.50,   20.50,   14.1
01,2014,  69.50,   21.50,   13.6
01,2014,  69.50,   22.50,   12.4
01,2014,  69.50,   23.50,   11.4
01,2014,  69.50,   24.50,   10.4
01,2014,  69.50,   25.50,    9.1
01,2014,  70.50,   19.50,   14.4
01,2014,  70.50,   20.50,   14.3
01,2014,  70.50,   21.50,   13.3
01,2014,  70.50,   22.50,   11.8
01,2014,  70.50,   23.50,   10.7
01,2014,  70.50,   24.50,    9.9
01,2014,  70.50,   25.50,    9.1
01,2014,  71.50,   19.50,   14.4
01,2014,  71.50,   20.50,   14.1
01,2014,  71.50,   21.50,   13.1
01,2014,  71.50,   22.50,   11.7
01,2014,  71.50,   23.50,   10.8
01,2014,  71.50,   24.50,   10.0
01,2014,  71.50,   25.50,    9.3
01,2014,  72.50,   19.50,   14.1
01,2014,  72.50,   20.50,   13.6
01,2014,  72.50,   21.50,   12.9
01,2014,  72.50,   22.50,   11.7
01,2014,  72.50,   23.50,   10.7
01,2014,  72.50,   24.50,   10.0
01,2014,  72.50,   25.50,    9.4
01,2014,  73.50,   19.50,   14.7
01,2014,  73.50,   20.50,   13.7
01,2014,  73.50,   21.50,   12.2
01,2014,  73.50,   22.50,   10.6
01,2014,  73.50,   23.50,    9.6
01,2014,  73.50,   24.50,    9.2
01,2014,  73.50,   25.50,    8.6
01,2014,  74.50,   19.50,   14.6
01,2014,  74.50,   20.50,   13.9
01,2014,  74.50,   21.50,   12.5
01,2014,  74.50,   22.50,   10.6
01,2014,  74.50,   23.50,    9.2
01,2014,  74.50,   24.50,    8.1
01,2014,  74.50,   25.50,    6.9
02,2014,  68.50,   19.50,   17.9
02,2014,  68.50,   20.50,   17.4
02,2014,  68.50,   21.50,   16.1
02,2014,  68.50,   22.50,   15.0
02,2014,  68.50,   23.50,   14.5
02,2014,  68.50,   24.50,   14.8
02,2014,  68.50,   25.50,   13.2
02,2014,  69.50,   19.50,   18.0
02,2014,  69.50,   20.50,   17.3
02,2014,  69.50,   21.50,   17.6
02,2014,  69.50,   22.50,   18.0
02,2014,  69.50,   23.50,   17.0
02,2014,  69.50,   24.50,   16.9
02,2014,  69.50,   25.50,   15.8
02,2014,  70.50,   19.50,   20.5
02,2014,  70.50,   20.50,   19.3
02,2014,  70.50,   21.50,   18.7
02,2014,  70.50,   22.50,   17.5
02,2014,  70.50,   23.50,   16.0
02,2014,  70.50,   24.50,   18.2
02,2014,  70.50,   25.50,   17.3
02,2014,  71.50,   19.50,    nan
02,2014,  71.50,   20.50,    nan
02,2014,  71.50,   21.50,   21.7
02,2014,  71.50,   22.50,   20.2
02,2014,  71.50,   23.50,   18.3
02,2014,  71.50,   24.50,   20.1
02,2014,  71.50,   25.50,   18.2
02,2014,  72.50,   19.50,    2.7
02,2014,  72.50,   20.50,    2.0
02,2014,  72.50,   21.50,    2.1
02,2014,  72.50,   22.50,    nan
02,2014,  72.50,   23.50,    nan
02,2014,  72.50,   24.50,   22.5
02,2014,  72.50,   25.50,   20.9
02,2014,  73.50,   19.50,    6.2
02,2014,  73.50,   20.50,    3.8
02,2014,  73.50,   21.50,    2.0
02,2014,  73.50,   22.50,    0.5
02,2014,  73.50,   23.50,    0.4
02,2014,  73.50,   24.50,   -0.8
02,2014,  73.50,   25.50,    0.1
02,2014,  74.50,   19.50,   12.5
02,2014,  74.50,   20.50,   11.7
02,2014,  74.50,   21.50,   10.5
02,2014,  74.50,   22.50,    8.2
02,2014,  74.50,   23.50,    5.5
02,2014,  74.50,   24.50,    4.1
02,2014,  74.50,   25.50,    2.7
03,2014,  68.50,   19.50,   16.3
03,2014,  68.50,   20.50,   15.9
03,2014,  68.50,   21.50,   15.5
03,2014,  68.50,   22.50,   14.5
03,2014,  68.50,   23.50,   13.7
03,2014,  68.50,   24.50,   13.4
03,2014,  68.50,   25.50,   12.9
03,2014,  69.50,   19.50,   16.3
03,2014,  69.50,   20.50,   15.7
03,2014,  69.50,   21.50,   15.0
03,2014,  69.50,   22.50,   13.9
03,2014,  69.50,   23.50,   13.2
03,2014,  69.50,   24.50,   13.0
03,2014,  69.50,   25.50,   12.8
03,2014,  70.50,   19.50,   17.1
03,2014,  70.50,   20.50,   16.7
03,2014,  70.50,   21.50,   16.2
03,2014,  70.50,   22.50,   15.0
03,2014,  70.50,   23.50,   13.9
03,2014,  70.50,   24.50,   13.3
03,2014,  70.50,   25.50,   12.8
03,2014,  71.50,   19.50,   16.2
03,2014,  71.50,   20.50,   15.8
03,2014,  71.50,   21.50,   15.2
03,2014,  71.50,   22.50,   14.3
03,2014,  71.50,   23.50,   13.9
03,2014,  71.50,   24.50,   13.6
03,2014,  71.50,   25.50,   13.3
03,2014,  72.50,   19.50,   17.7
03,2014,  72.50,   20.50,   17.7
03,2014,  72.50,   21.50,   17.1
03,2014,  72.50,   22.50,   16.0
03,2014,  72.50,   23.50,   14.8
03,2014,  72.50,   24.50,   14.0
03,2014,  72.50,   25.50,   13.0
03,2014,  73.50,   19.50,   17.4
03,2014,  73.50,   20.50,   17.6
03,2014,  73.50,   21.50,   17.0
03,2014,  73.50,   22.50,   15.8
03,2014,  73.50,   23.50,   14.7
03,2014,  73.50,   24.50,   14.1
03,2014,  73.50,   25.50,   13.4
03,2014,  74.50,   19.50,   18.6
03,2014,  74.50,   20.50,   18.5
03,2014,  74.50,   21.50,   17.6
03,2014,  74.50,   22.50,   16.2
03,2014,  74.50,   23.50,   14.9
03,2014,  74.50,   24.50,   14.0
03,2014,  74.50,   25.50,   13.0
04,2014,  68.50,   19.50,   21.9
04,2014,  68.50,   20.50,   21.5
04,2014,  68.50,   21.50,   21.6
04,2014,  68.50,   22.50,   21.5
04,2014,  68.50,   23.50,   21.3
